,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
10723,"organic orange juice from concentrate , organic orange juice",8.0,11.25,0.0,0.0,0.0,0.0,0.0,0.8299999999999998,6.0,10.0,0.0,46.0
10724,"organic orange juice from concentrate , tricalcium phosphate, calcium gluconate and calcium lactate",144.0,11.67,0.0,0.0,0.0,0.0,0.0,0.8299999999999998,6.0,9.58,0.0,46.0
10725,organic orange juice from concentrate and pasteurized organic orange juice,6.0,11.25,0.0,0.0,0.0,0.0,0.0,0.83,6.0,10.0,0.0,46.0
10726,"organic orange juice from concentrate, , organic orange juice not from concentrate",6.666666666666667,12.08,0.0,0.0,0.0,0.0,0.0,0.83,0.0,10.42,0.0,46.0
10727,organic orange juice not from concentrate,8.0,10.83,0.0,0.0,0.0,0.0,0.0,0.8299999999999998,0.0,9.17,0.0,46.0
10728,"organic orange juice not from concentrate, tricalcium phosphate, vitamin d3",146.0,10.83,0.0,0.0,0.0,0.0,0.0,0.8299999999999998,0.0,9.17,0.0,46.0
10729,"organic orange juice,",8.0,10.83,0.0,0.0,0.0,0.0,0.0,0.83,0.0,9.17,0.0,46.0
10730,"organic orange juice, calcium lactate, tricalcium phosphate, cholecalciferol",146.0,10.83,0.0,0.0,0.0,0.0,0.0,0.8299999999999998,0.0,9.58,0.0,46.0
10731,"organic orange juice, calcium lactate, tricalcium phosphate, vitamin d3",146.0,10.83,0.0,0.0,0.0,0.0,0.0,0.83,0.0,9.58,0.0,46.0
10732,"organic orange juice, calcium phosphate, vitamin d3",146.0,10.83,0.0,0.0,0.0,0.0,0.6646153846153846,0.83,1.2307692307692308,8.75,0.0,46.0
10733,"organic orange juice, filtered water, organic strawberry puree, organic apple juice, organic carrot juice, organic raspberry puree, organic ginger juice, organic chia oil, calcium citrate, sunflower lechithin, vitamin d3, iron, folic acid",42.0,7.2,0.0,0.0,0.0,0.8,1.9099999999999997,0.0,8.0,6.779999999999999,0.42000000000000004,30.0
10734,"organic orange juice, organic apple juice, organic raspberry puree, organic acerola cherry puree, organic lemon juice",9.0,9.23,0.0,0.0,0.0,0.6,0.31,0.31,0.0,8.92,0.0,40.0
10735,"organic orange juice, organic carrot juice, organic ginger root juice organic turmeric root juice, organic lemon juice, organic sea buckthorn juice",16.0,8.44,0.0,0.0,0.0,0.4,0.42,0.84,46.0,6.33,0.0,38.0
10736,"organic orange juice, organic carrot juice, organic lemon juice",12.0,11.67,0.0,0.0,0.0,0.4,0.17,0.83,25.0,8.75,0.0,50.0
10737,"organic orange juice, organic carrot juice, organic lemon juice, organic ginger juice, organic turmeric juice",17.0,10.15,0.0,0.0,0.0,0.4000000000000001,0.36000000000000004,0.85,32.0,6.13,0.21,44.0
10738,"organic orange juice, organic carrot juice, organic lime juice, reconstituted organic apple juice , organic pear juice, organic turmeric",24.0,9.6,0.0,0.0,0.0,0.8,0.14,0.8,0.0,6.8,0.0,40.0
10739,"organic orange juice, organic carrot juice, organic pineapple juice, organic apple juice, organic lime juice",11.0,11.02,1.0,0.0,0.0,0.0,0.1,0.56,10.0,10.45,0.0,45.0
10740,"organic orange juice, organic coffeeberry, organic ashwagandha extract",8.0,11.27,0.0,0.0,0.0,0.0,0.0,0.85,0.0,9.01,0.0,45.0
10741,"organic orange juice, organic cranberry juice, organic pomegranate juice",11.0,11.84,0.0,0.0,0.0,0.2,0.21,0.63,2.0,10.36,0.21,49.0
10742,"organic orange juice, organic cranberry juice, organic pomegranate juice, organic cinnamon",16.0,12.59,0.0,0.0,0.0,0.5,0.23000000000000004,0.7,2.0,9.56,0.23000000000000004,51.0
10743,"organic orange juice, organic elderberry juice from concentrate, organic acerola puree, ascorbic acid, zinc gluconate, vitamin d3",11.0,10.83,0.0,0.0,0.0,0.0,0.12000000000000001,0.83,0.0,9.17,0.0,46.0
10744,"organic orange juice, organic ginger juice, organic lemon juice, organic acerola cherry, organic turmeric root, organic cayenne pepper",0.0,11.86,0.0,0.0,0.0,0.0,1.22,0.0,0.0,3.39,0.0,34.0
10745,"organic orange juice, organic ginger juice, organic raw honey, organic cayenne pepper, bacillus coagulans gbi-30 6086",0.0,12.0,0.0,0.0,0.0,0.0,1.7280000000000002,0.0,0.0,12.0,0.0,50.0
10746,"organic orange juice, organic lemon juice, organic ginger root juice, organic elderberry juice concentrate, organic oil of oregano extract, organic aloe barbadensis leaf juice, organic cayenne powder",34.0,8.47,0.0,0.0,0.0,0.0,1.22,1.6900000000000002,0.0,6.78,0.0,42.0
10747,"organic orange juice, organic orange pulp",8.0,10.83,0.0,0.0,0.0,0.0,0.0625,0.83,0.5,8.995,0.0,46.0
10748,"organic orange juice, organic pineapple juice, organic mango puree, organic apple juice, organic acerola cherry juice",6.0,12.62,0.0,0.0,0.0,0.0,0.11,0.62,0.0,11.38,0.0,52.0
10749,"organic orange juice, organic pineapple juice, organic mango puree, organic apple juice, organic acerola cherry puree",8.0,12.618181818181817,0.0,0.0,0.0,0.03636363636363637,0.0,0.5690909090909091,0.0,11.35909090909091,0.0,51.63636363636363
10750,"organic orange juice, organic turmeric juice, organic lemon juice, organic agave, organic black pepper",3.0,16.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.86,0.0,59.0
10751,"organic orange juice, organic turmeric root juice, organic lemon juice, organic cayenne pepper, organic ground black pepper",8.0,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,0.0,42.0
10752,"organic orange juice, organic whole root turmeric, probiotic bacillus coagulans gbi-30",11.0,10.83,0.0,0.0,0.0,1.2,0.12,0.8299999999999998,0.0,8.75,0.0,46.0
10753,"organic orange juice, tri-calcium phosphate, calcium lactate, vitamin d3",146.0,11.208,0.0,0.0,0.0,0.0,0.0,0.8299999999999998,0.0,9.17,0.0,46.0
10754,"organic orange juice, tricalcium citrate, and vitamin d3",139.30769230769232,10.903846153846153,0.0,0.0,0.0,0.0,0.09461538461538462,0.8392307692307692,1.2307692307692308,9.23,0.0,46.0
10755,"organic orange juice, tricalcium phosphate and vitamin d3",146.0,10.83,0.0,0.0,0.0,0.0,0.0,0.8299999999999998,0.0,9.17,0.0,46.0
10756,"organic orange juice, tricalcium phosphate, cholecalciferol",146.0,10.83,0.0,0.0,0.0,0.0,0.0,0.83,0.0,9.58,0.0,46.0
10757,"organic orange juice, tricalcium phosphate, vitamin d3",146.0,10.83,0.0,0.0,0.0,0.0,0.0,0.83,0.0,9.233076923076924,0.0,46.0
10758,"organic orange, organic blood orange , organic grape or apple and organic lemon juices from concentrate",0.0,8.48,0.0,0.0,0.0,0.6,0.0,0.61,6.0,9.09,0.0,37.0
10759,"organic orange, organic ginger",17.0,11.86,0.0,0.0,0.0,0.0,0.34,0.0,0.0,8.47,0.0,51.0
10760,"organic orange, organic pineapple, organic apple, organic turmeric, organic cayenne",7.0,9.86,0.0,0.0,0.0,0.6,0.0,0.28,3.0,7.89,0.0,42.0
10761,"organic orange, organic sugar, fruit pectin, citric acid,",0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,225.0
10762,"organic orange, organic turmeric",17.0,11.86,0.0,0.0,0.0,0.0,0.51,0.0,0.0,8.47,0.0,51.0
10763,"organic orange, organic wild blue green algae, organic cinnamon",17.0,11.86,0.0,0.0,0.0,0.0,0.34,0.0,0.0,8.47,0.0,51.0
10764,organic oranges,15.4,10.803999999999998,0.0,0.0,0.0,0.38,0.146,0.7939999999999999,0.0,8.687999999999999,0.0,47.2
10765,"organic oranges, organic cane sugar, water, gelling agent , organic lemon juice concentrate, xanthan gum",0.0,45.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0,0.0,175.0
10766,"organic oranges, organic carrots, organic lemons, organic ginger, organic turmeric",16.0,10.02,0.0,0.0,0.0,0.5,0.35,0.7,31.0,6.06,0.23000000000000004,44.0
10767,"organic oranges, organic carrots, organic turmeric, organic jalapenos",33.0,10.83,0.0,0.0,0.0,2.9,0.3,1.25,35.0,7.5,0.21000000000000002,46.0
10768,"organic oranges, organic mangos, organic pineapple, organic goji berries, organic ginger, organic coconut butter organic turmeric",26.0,14.74,0.0,0.0,0.0,1.9,0.46,1.28,6.0,10.9,0.0,58.0
10769,"organic oregano, organic dextrose, organic canola oil, sodium lactate, glycerin, whey , sea salt, ascorbic acid , xanthan gum, citric acid",0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,25.0,12.5,250.0
10770,"organic oregano, organic sunflower oil, organic extra virgin olive oil, unrefined sea salt, organic lemon juice concentrate, xanthan and guar gums",160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,30.0,300.0
10771,"organic papaya juice, organic apple juice",11.0,11.25,0.0,0.0,0.0,0.8000000000000002,0.75,0.42,8.0,8.75,0.0,46.0
10772,"organic papaya, organic pineapple juice, organic lime juice",16.0,11.38,0.0,0.0,0.0,0.8,0.0,0.81,4.0,8.94,0.0,49.0
10773,"organic parsley, organic canola oil, dextrose, water, salt, acetic acid, citric acid, sodium lactate, xanthan gum, spinach extract color",0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,25.0,25.0,250.0
10774,"organic parsley, organic canola oil, sea salt ascorbic acid to protect color",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
10775,"organic parsley, organic canola oil, sea salt, ascorbic acid to protect color",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
10776,"organic parsley, organic dextrose, whey , organic canola oil, sodium lactate, sea salt, ascorbic acid , xanthan gum, citric acid",0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,25.0,0.0,250.0
10777,"organic parsley, organic sunflower oil, organic extra virgin olive oil, unrefined mediterranean sea salt, organic lemon juice concentrate, organic apple cider vinegar, xanthan and guar gums",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,20.0,200.0
10778,organic pasteurized apple juice,8.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,46.0
10779,organic pasteurized gravenstein apple juice,8.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,46.0
10780,organic pasteurized honeycrisp apple juice,8.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,46.0
10781,organic pasteurized juice from fresh pressed organic apples,0.0,12.5,0.0,0.0,0.0,0.4,0.3,0.0,0.0,10.0,0.0,50.0
10782,organic pasteurized pear juice,17.0,15.83,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.08,0.0,62.0
10783,organic pasteurized unfiltered apple juice,0.0,11.67,0.0,0.0,0.0,0.4,0.0,0.0,4.0,10.0,0.0,46.0
10784,"organic pasteurized, unfiltered apple juice",0.0,12.5,0.0,0.0,0.0,0.4000000000000001,0.3,0.0,0.0,10.0,0.0,50.0
10785,"organic pea & sunflower microgreens, pre-washed",47.0,4.71,0.0,0.0,0.0,2.4,0.85,4.71,0.0,0.0,0.0,35.0
10786,organic pea shoots,24.0,7.06,0.0,0.0,0.0,2.4,1.18,2.35,0.0,4.71,0.0,35.0
10787,"organic peach slices, ascorbic acid and citric acid",7.0,9.29,0.0,0.0,0.0,1.4,0.29,0.71,0.0,8.57,0.0,43.0
10788,"organic peach, organic apricot, organic fructose-glucose syrup from fruit, pectins",0.0,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,211.0
10789,organic peaches,3.5,9.37,0.0,0.0,0.0,1.4,0.265,0.7025,0.0,7.9475,0.0,37.25
10790,"organic peaches , organic apricots , organic fructose-glucose syrup from fruit, pectins",0.0,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,211.0
10791,"organic peaches water, organic peach pulp and juice,organic pear juice concentrate, ascorbic acid to protect color",4.0,11.29,0.0,0.0,0.0,0.8,0.0,0.81,0.0,8.87,0.0,48.0
10792,organic peaches!,6.0,9.29,0.0,0.0,0.0,1.4,0.25,0.71,0.0,8.57,1.07,36.0
10793,"organic peaches, ascorbic acid , citric acid",7.0,9.29,0.0,0.0,0.0,1.3999999999999997,0.29,0.71,0.0,6.43,0.0,43.0
10794,"organic peaches, ascorbic acid and citric acid",0.0,10.36,0.0,0.0,0.0,1.4,0.13,0.71,0.0,8.93,0.0,43.0
10795,"organic peaches, ascorbic acid and citric acid added to maintain color",6.0,9.29,0.0,0.0,0.0,1.4,0.0,0.7100000000000001,0.0,7.86,0.0,36.0
10796,"organic peaches, ascorbic acid and citric acid added to preserve color",0.0,9.29,0.0,0.0,0.0,1.4,0.26,0.71,0.0,8.57,0.0,36.0
10797,"organic peaches, ascorbic acid and citric acid added to retard oxidation",0.0,12.14,0.0,0.0,0.0,1.4,0.26,0.71,18.0,9.29,0.0,50.0
10798,"organic peaches, ascorbic acid, citric acid",0.0,11.325714285714286,0.0,0.0,0.0,1.4,0.26,0.71,12.857142857142858,9.084285714285715,0.0,46.0
10799,"organic peaches, ascorbic and citric acids",0.0,9.29,0.0,0.0,0.0,1.3999999999999997,0.26,0.71,0.0,6.43,0.0,43.0
10800,"organic peaches, ascorbic and citric acids to promote color retention",6.0,9.74,0.0,0.0,0.0,1.3,0.26,0.65,0.0,8.44,0.0,39.0
10801,"organic peaches, citric acid, ascorbic acid",0.0,10.605,0.0,0.0,0.0,1.35,0.13,0.685,8.5,8.92,0.0,44.5
10802,"organic peaches, organic apple juice concentrate, natural fruit pectin, ascorbic acid, citric acid",0.0,42.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,0.0,158.0
10803,"organic peaches, organic cane sugar, fruit pectin, ascorbic acid , citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,250.0
10804,"organic peaches, organic mango, organic strawberries, organic pineapple, ascorbic acid and citric acid added to maintain color",11.0,11.43,0.0,0.0,0.0,1.4,0.0,0.71,0.0,9.29,0.0,43.0
10805,"organic peaches, organic sugar, ascorbic acid , citric acid",0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,100.0
10806,"organic peaches, organic white grape juice from concentrate , natural flavors, ascorbic acid , and citric acid",15.428571428571429,16.81,0.0,0.0,0.0,0.9,0.2742857142857143,0.88,4.0,15.929999999999998,0.0,71.0
10807,"organic peaches, water, organic apple juice from concentrate, citric acid",0.0,11.2,0.0,0.0,0.0,1.6,0.0,0.8,4.0,10.4,0.0,48.0
10808,"organic peaches, water, organic peach pulp and juice, organic pear juice concentrate, ascorbic acid",0.0,11.290000000000001,0.0,0.0,0.0,0.8,0.0,0.8099999999999999,0.0,8.87,0.0,48.0
10809,"organic peaches, water, organic peach pulp and juice, organic pear juice concentrate, ascorbic acid to preserve color, citric acid",0.0,9.84,0.0,0.0,0.0,0.0,0.59,0.0,8.0,9.02,0.0,41.0
10810,"organic peaches, water, organic peach pulp and juice, organic pear juice concentrate, ascorbic acid to protect color",3.210526315789474,10.94657894736842,0.0,0.0,0.0,0.6105263157894738,0.12421052631578947,0.6181578947368421,1.894736842105263,8.905526315789473,0.0,46.3421052631579
10811,"organic peaches, water, organic peach pulp and juice, organic pear juice concentrate, ascorbic acid to protect color, citric acid",0.0,9.84,0.0,0.0,0.0,0.0,0.59,0.0,8.0,9.02,0.0,41.0
10812,"organic peaches, water, organic peach pulp and juice, organic pear juice concentrate, ascorbic acid to protect color, naturally derived citric acid",0.0,9.84,0.0,0.0,0.0,0.0,0.59,0.0,8.0,9.02,0.0,41.0
10813,"organic peaches, water, organic peach pulp and juice, organic pear juice from concentrate, ascorbic acid , citric acid",0.0,9.84,0.0,0.0,0.0,0.0,0.59,0.0,8.0,9.02,0.0,41.0
10814,"organic peaches, water, organic peach pulp and juice,organic pear juice concentrate, ascorbic acid to protect color",4.0,11.29,0.0,0.0,0.0,0.8,0.0,0.81,0.0,8.87,0.0,48.0
10815,"organic peaches, water, organic pear juice concentrate, ascorbic acid for color retention, citric acid",18.0,10.62,0.0,0.0,0.0,1.8,0.32,0.0,35.0,8.85,0.0,44.0
10816,"organic peaches, water, organic pear juice concentrate, ascorbic acid to protect color, citric acid",2.9361702127659575,10.788510638297872,0.0,0.0,0.0,0.9191489361702129,0.006808510638297872,0.0,3.234042553191489,9.018510638297872,0.0,44.0
10817,"organic peaches, water, organic pear juice concentrate, ascorbic acid to protect color, naturally derived citric acid",0.967741935483871,11.386451612903226,0.0,0.0,0.0,0.9290322580645162,0.01032258064516129,0.0,12.451612903225806,9.616451612903226,0.0,44.0
10818,"organic peaches, water, organic pear juice concentrate, ascorbic acidto protect color, naturally derived citric acid",18.0,10.62,0.0,0.0,0.0,1.8,0.32,0.0,35.0,8.85,0.0,44.0
10819,"organic peaches, water, organic pear juice, concentrate, ascorbic acid to protect color, naturally derived citric acid",0.0,11.5,0.0,0.0,0.0,0.9,0.0,0.0,13.0,9.73,0.0,44.0
10820,"organic peaches, water, organic pears, organic pear juice concentrate, ascorbic acid to protect color, citric acid",6.631578947368421,12.39,0.0,0.0,0.0,0.9,0.0,0.0,0.0,8.85,0.0,44.0
10821,"organic peaches, water, organic pears, organic pear juice concentrate, ascorbic acid to protect color, natural derived citric acid",7.0,12.39,0.0,0.0,0.0,0.9,0.0,0.0,0.0,8.85,0.0,44.0
10822,"organic peaches, water, organic pears, organic white grape juice concentrate, organic lemon juice concentrate, ascorbic acid , to protect color",9.0,14.160000000000002,0.0,0.0,0.0,0.9,0.88,0.88,0.0,11.5,0.0,62.0
10823,"organic peaches, water, organic pears, organic white grape juice concentrate, organic lemon juice concentrate, ascorbic acid to protect color",8.0,14.16,0.0,0.0,0.0,0.9,0.88,0.88,0.0,11.5,0.0,62.0
10824,"organic peaches, water, organic pears, organic white grape juice concentrate, organic lemon juice concentrate, ascorbic acid to protect color, citric acid",5.818181818181818,14.159999999999998,0.0,0.0,0.0,0.9,0.7527272727272727,0.88,0.0,11.5,0.0,62.0
10825,organic pear,11.0,15.38,0.0,0.0,0.0,3.3,0.22000000000000003,0.0,0.0,9.89,0.0,66.0
10826,"organic pear juice from concentrate , water, organic apple juice from concentrate , organic lemon juice from concentrate , organic honey, organic ginger, organic echinacea, organic acerola cherry extract, organic rosehips",2.0,10.83,0.0,0.0,0.0,0.0,0.17,0.0,4.0,9.58,0.0,42.0
10827,"organic pear juice from concentrate, organic juices from apple, ginger, turmeric, sea buckthorn and organic carrot from concentrate pasteurized",0.0,11.46,0.0,0.0,0.0,0.0,0.0,0.62,0.0,8.21,0.0,48.0
10828,"organic pear juice, organic coconut water, organic mango puree, organic spinach juice, organic banana puree, organic lime juice",17.0,10.73,0.0,0.0,0.0,0.6,0.51,0.56,40.0,9.04,0.28,48.0
10829,"organic pear juice, organic pineapple juice, organic cucumber juice, organic spinach juice, organic kale juice, organic broccoli juice, organic lemon juice, organic parsley juice",24.0,8.46,0.0,0.0,0.0,0.6,0.21,0.85,16.0,5.92,0.0,36.0
10830,"organic pear puree, organic strawberry puree, organic banana puree, organic coconut cream, organic sweet potato puree, organic lemon juice concentrate",11.0,13.19,0.0,1.65,0.0,2.2,0.22,1.1,0.0,8.79,2.2,77.0
10831,"organic pear puree, water, organic apple juice concentrate, organic passionfruit juice concentrate, organic ground flaxseed, natural flavor , ascorbic acid",0.0,12.73,0.0,0.0,0.0,1.2,0.22,0.3,3.0,10.61,0.0,55.0
10832,organic pearled barley,30.0,77.27,0.0,0.0,0.0,15.9,2.27,9.09,0.0,0.0,1.14,341.0
10833,organic pears,10.461538461538462,15.06,0.0,0.0,0.0,3.6000000000000005,0.06923076923076922,0.6,0.0,9.04,0.0,60.0
10834,"organic pears, organic blueberries, organic raw cashews, organic coconut milk, organic garbanzo beans, organic spinach, organic almond protein, organic dried rosemary leaves, organic lemon juice",27.0,15.15,0.0,1.52,0.0,3.0,1.01,3.03,5.0,8.08,4.04,111.0
10835,"organic pears, organic peaches, organic pumpkin, water, organic honey, organic quinoa, organic almond meal, organic rolled oats, organic milk protein, organic pineapple, organic buckwheat, organic oat fiber, organic natural flavor, ascorbic acid",31.666666666666668,15.38,0.0,0.0,0.0,2.6,0.38333333333333336,2.56,3.0,8.97,1.28,83.0
10836,"organic pears, water, ascorbic acid",0.0,12.68,0.0,0.0,0.0,1.4,0.0,0.0,7.0,9.86,0.0,56.0
10837,"organic pears, water, organic pear juice concentrate",8.61111111111111,12.075,0.6666666666666666,0.17916666666666667,0.0,1.6,0.012083333333333331,0.08958333333333333,1.625,8.845833333333333,0.4816666666666667,52.041666666666664
10838,"organic pears, water, organic pear juice concentrate, ascorbic acid for color retention, citric acid",18.0,12.39,0.0,0.0,0.0,1.8,0.32,0.0,27.0,10.62,0.0,53.0
10839,"organic pears, water, organic pear juice concentrate, ascorbic acid to protect color, citric acid",6.382978723404255,13.78340425531915,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,9.35340425531915,0.0,53.0
10840,"organic pears, water, organic pear juice concentrate, ascorbic acid to protect color, naturally derived citric acid",0.5,12.39,0.0,0.0,0.0,1.7999999999999998,0.008888888888888889,0.0,0.75,8.033888888888889,0.0,53.0
10841,"organic pears, water, organic pear juice from concentrate",0.0,11.2,0.0,0.0,0.0,1.6,0.2784,0.0,4.0,8.0,0.0,48.0
10842,"organic pears, water, organic pear juice from concentrate, ascorbic acid to protect color, citric acid",18.0,12.39,0.0,0.0,0.0,1.8,0.32,0.0,27.0,10.62,0.0,53.0
10843,"organic pears, water, organic white grape juice concentrate, organic lemon juice concentrate, ascorbic acid to protect color",9.0,15.93,0.0,0.0,0.0,1.8,0.88,0.0,0.0,11.5,0.0,62.0
10844,organic peas,18.564102564102566,13.734102564102564,0.0,0.0,0.0,5.073076923076923,1.255128205128205,5.312820512820513,23.615384615384617,4.6956410256410255,0.22794871794871796,79.34615384615384
10845,organic peas and organic carrots,24.0,10.59,0.0,0.0,0.0,3.5,0.42,2.35,100.0,4.71,0.0,59.0
10846,"organic peas, organic carrots",26.15625,10.8784375,0.0,0.0,0.0,4.359375,0.9578125000000001,2.7671875,52.9375,4.210625,0.1396875,57.40625
10847,"organic peas, organic carrots, salt",23.0,11.49,0.0,0.0,0.0,3.4,0.8299999999999998,3.45,155.0,4.6,0.0,57.0
10848,"organic peas, organic corn, organic green beans, organic carrots",24.22222222222222,12.868888888888888,0.0,0.0,0.0,3.3555555555555556,0.4444444444444444,2.7411111111111115,42.55555555555556,4.501111111111111,0.5655555555555556,63.666666666666664
10849,"organic peas, salt",0.0,13.200000000000001,0.0,0.0,0.0,4.5,1.21,5.62,171.5,4.21,0.0,79.0
10850,"organic peas, trace of sea salt",0.0,14.12,0.0,0.0,0.0,4.7,1.27,4.71,112.0,4.71,0.0,82.0
10851,"organic peas, water",16.0,8.64,0.0,0.0,0.0,2.4,0.8056,2.72,12.0,3.36,0.16,48.64
10852,"organic peas, water, organic dehydrated cane juice, sea salt",16.0,9.6,0.0,0.0,0.0,2.4,1.15,3.2,268.0,4.8,0.4,56.0
10853,"organic peas, water, organic sugar, sea salt",15.133333333333333,9.235555555555557,0.0,0.0,0.0,2.4,0.917,3.368888888888889,228.62222222222223,4.435555555555555,0.2177777777777778,52.355555555555554
10854,"organic peas, water, organic sugar,sea salt",16.0,9.6,0.0,0.0,0.0,2.4,1.15,3.2,240.0,4.8,0.4,56.0
10855,"organic peas, water, sea salt",24.0,12.8,0.0,0.0,0.0,5.6,1.28,5.6,280.0,0.8,0.8,88.0
10856,"organic peas; water, organic sugar, sea salt",14.0,8.8,0.0,0.0,0.0,2.4,0.8,2.4,240.0,4.0,0.0,48.0
10857,organic peeled garlic,200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10858,organic petite brussels sprouts,24.0,7.06,0.0,0.0,0.0,4.7,0.85,3.53,12.0,3.53,0.0,47.0
10859,organic petite green beans,47.0,5.88,0.0,0.0,0.0,3.5,0.85,2.35,6.0,2.35,0.0,29.0
10860,organic petite green peas,0.0,13.79,0.0,0.0,0.0,4.6,1.0333333333333334,4.6,0.0,4.6,0.0,80.0
10861,"organic pie cherries, organic evaporated cane juice, pectin",50.0,40.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,35.0,0.0,150.0
10862,"organic pie, cherries, organic evaporated, cane juice, pectin",0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,125.0
10863,organic pineapple,8.016949152542374,13.89177966101695,0.0,0.02423728813559322,0.0,1.3864406779661016,0.2461864406779661,0.693728813559322,1.3135593220338984,10.568305084745763,0.05449152542372881,56.46610169491525
10864,organic pineapple chunks,14.0,12.913999999999998,0.0,0.0,0.0,1.4,0.29,0.716,0.0,10.042,0.0,50.0
10865,"organic pineapple chunks, organic mango chunks, organic spinach, organic kale",34.0,12.24,0.0,0.0,0.0,1.3999999999999997,0.41,1.36,7.0,9.52,0.0,48.0
10866,organic pineapple juice,8.0,12.92,0.0,0.0,0.0,0.0,0.33,0.42,2.0,10.83,0.0,54.0
10867,"organic pineapple juice from concentrate , organic pear juice from concentrate , xanthan gum, organic acerola cherry extract",0.0,12.919999999999998,0.0,0.0,0.0,0.4,0.17,0.42000000000000004,2.0,10.42,0.0,54.0
10868,"organic pineapple juice, filtered water , organic pineapple juice concentrate",14.0,12.92,0.0,0.0,0.0,0.0,0.33,0.42,4.0,10.83,0.0,54.0
10869,"organic pineapple juice, organic ginger",8.0,12.92,0.0,0.0,0.0,0.0,0.33,0.42,2.0,10.83,0.0,54.0
10870,"organic pineapple juice, organic ginger juice, organic turmeric juice, organic lemon juice, organic black pepper",0.0,13.56,0.0,0.0,0.0,1.7,0.0,0.0,0.0,8.47,0.0,59.0
10871,"organic pineapple juice, organic ginger root juice, organic turmeric root juice, organic lemon juice, organic echinacea purpurea juice, organic ground black pepper",0.0,6.779999999999999,0.0,0.0,0.0,0.0,0.549,1.69,0.0,5.08,0.0,34.0
10872,"organic pineapple juice, organic pear juice, organic cabbage juice, organic ginger root juice, organic mint juice, organic parsley juice",24.0,11.63,0.0,0.0,0.0,0.8,0.42000000000000004,0.63,6.0,8.25,0.0,47.0
10873,"organic pineapple juice, organic pineapple, organic mango, organic papaya, organic watermelon, organic passion fruit juice",15.0,12.03,0.0,0.0,0.0,0.8,0.0,0.75,0.0,10.53,0.0,53.0
10874,"organic pineapple juice, organic sweet potato juice, organic mango juice, organic orange juice",11.0,10.99,0.0,0.0,0.0,0.3,0.2,0.28,15.0,7.89,0.0,45.0
10875,"organic pineapple, organic apple, organic mint tea, organic wheatgrass, organic kale, organic spinach, organic romaine, organic parsley, organic mint, organic lemon",42.0,11.63,0.0,0.0,0.0,2.5,1.9,2.11,6.0,5.92,0.11,57.0
10876,"organic pineapple, organic apples , organic kale, organic bananas",0.0,16.84,0.0,0.0,0.0,2.1,0.0,1.05,32.0,11.58,0.0,74.0
10877,"organic pineapple, organic celery, organic spinach, organic kale, organic ginger, organic lime",14.0,5.92,0.0,0.0,0.0,0.6,0.28,0.56,62.0,3.38,0.0,25.0
10878,"organic pineapple, organic mango, organic strawberries",0.0,12.86,0.0,0.0,0.0,2.1,0.26,0.71,0.0,10.0,0.0,50.0
10879,"organic pineapple, organic pineapple juice",2.3684210526315788,15.543684210526315,0.0,0.0,0.0,0.8,0.24421052631578946,0.8031578947368421,0.0,13.809473684210525,0.0,62.89473684210526
10880,"organic pineapple, organic pineapple juice ascorbic acid",16.0,0.0,0.0,0.0,0.0,0.8,0.0,0.82,0.0,10.66,0.0,57.0
10881,"organic pineapple, organic pineapple juice, ascorbic acid",13.377777777777778,13.065555555555553,0.0,0.0,0.0,0.728888888888889,0.0,0.8004444444444444,0.0,10.668888888888889,0.0,55.75555555555555
